PLZ,Stadtteil_Name,,Rewe_ID,Adresse,↑PLZ,,Produkt_ID,Name,Partner/Firma,Preis,,↑Rewe_ID,↑Produkt_ID
28755,Blumenthal,,1,,,,,,,,,,
28777,Blumenthal,,2,,,,,,,,,,
28779,Blumenthal,,3,,,,,,,,,,
28357,Borgfeld,,4,,,,,,,,,,
28237,Burglesum,,5,,,,,,,,,,
28717,Burglesum,,6,,,,,,,,,,
28719,Burglesum,,7,,,,,,,,,,
28757,Burglesum,,8,,,,,,,,,,
28759,Burglesum,,9,,,,,,,,,,
28215,Findorff,,10,,,,,,,,,,
28219,Findorff,,11,,,,,,,,,,
28237,Gröpelingen,,12,,,,,,,,,,
28239,Gröpelingen,,13,,,,,,,,,,
28197,Häfen,,14,,,,,,,,,,
28237,Häfen,,15,,,,,,,,,,
28207,Hemelingen,,16,,,,,,,,,,
28307,Hemelingen,,17,,,,,,,,,,
28309,Hemelingen,,18,,,,,,,,,,
28329,Hemelingen,,19,,,,,,,,,,
28357,Horn-Lehe,,20,,,,,,,,,,
28359,Horn-Lehe,,21,,,,,,,,,,
28259,Huchting,,22,,,,,,,,,,
28195,Mitte,,23,,,,,,,,,,
28203,Mitte,,24,,,,,,,,,,
28215,Mitte,,25,,,,,,,,,,
28199,Neustadt,,26,,,,,,,,,,
28201,Neustadt,,27,,,,,,,,,,
28277,Neustadt,,28,,,,,,,,,,
28325,Oberneuland,,29,,,,,,,,,,
28355,Oberneuland,,30,,,,,,,,,,
28277,Obervieland,,31,,,,,,,,,,
28279,Obervieland,,32,,,,,,,,,,
28307,Osterholz,,33,,,,,,,,,,
28325,Osterholz,,34,,,,,,,,,,
28327,Osterholz,,35,,,,,,,,,,
28203,Östliche Vorstadt,,36,,,,,,,,,,
28205,Östliche Vorstadt,,,,,,,,,,,,
28209,Schwachhausen,,,,,,,,,,,,
28211,Schwachhausen,,,,,,,,,,,,
28213,Schwachhausen,,,,,,,,,,,,
28329,Schwachhausen,,,,,,,,,,,,
28197,Seehausen,,,,,,,,,,,,
28197,Strom,,,,,,,,,,,,
28327,Vahr,,,,,,,,,,,,
28329,Vahr,,,,,,,,,,,,
28755,Vegesack,,,,,,,,,,,,
28757,Vegesack,,,,,,,,,,,,
28759,Vegesack,,,,,,,,,,,,
28217,Walle,,,,,,,,,,,,
28219,Walle,,,,,,,,,,,,
28237,Walle,,,,,,,,,,,,
28197,Woltmershausen,,,,,,,,,,,,